real,imag
-807.397,-248.318
786.959,366.857
-806.352,-345.101
663.768,386.296
-594.339,-271.57
407.349,219.847
-340.337,-28.9757
196.379,-67.3917
-199.906,261.502
136.95,-316.693
-214.53,430.006
204.342,-376.877
-304.795,371.884
286.025,-210.503
-351.735,126.333
282.605,70.6158
-295.489,-139.473
183.76,271.778
-173.675,-237.058
62.7223,244.526
-75.2351,-85.7618
1.34818,-7.33235
-54.4296,223.79
12.6432,-319.043
-79.1854,478.486
26.2423,-463.703
-56.6912,475.125
-51.7219,-295.832
85.7442,150.708
-254.553,153.731
331.828,-373.925
-516.407,692.321
576.519,-863.505
-711.584,1077.24
696.337,-1103.09
-741.307,1150.78
634.703,-1011.47
-600.211,914.755
436.331,-667.068
-372.295,506.786
206.58,-242.014
-163.198,106.254
31.6778,102.221
-25.5828,-162.482
-75.0413,289.19
62.9806,-272.618
-160.024,335.441
155.979,-272.104
-265.7,305.787
269.906,-228.593
-374.562,259.702
354.063,-186.806
-412.45,225.269
327.47,-160.156
-311.476,205.48
154.014,-145.914
-80.3838,195.481
-108.507,-138.677
180.127,188.774
-332.253,-128.887
337.599,170.575
-405.051,-95.508
322.365,114.773
-314.599,-11.1338
183.672,-1.38167
-163.967,135.406
59.9331,-171.307
-101.021,316.159
80.0767,-346.032
-210.374,466.076
267.036,-453.529
-447.438,517.92
515.679,-443.519
-665.125,448.356
663.695,-325.073
-715.724,298.272
605.209,-163.979
-554.677,146.213
365.045,-36.4903
-271.378,51.2898
80.4984,26.8328
-25.7674,10.2109
-94.8293,60.8897
62.0962,-33.9083
-94.7796,129.374
-10.1979,-134.024
21.5646,258.494
-135.681,-278.925
121.425,397.131
-181.893,-384.492
97.7756,443.673
-86.6385,-352.963
-56.5521,327.145
102.855,-159.787
-250.892,81.2221
271.331,102.356
-368.306,-153.744
322.669,267.502
-351.354,-215.26
248.165,207.358
-240.723,-35.5691
129.359,-68.8509
-142.994,296.37
77.9445,-404.637
-154.675,582.054
158.209,-593.945
-296.907,644.992
344.924,-522.57
-502.715,455.155
540.619,-251.197
-659.751,153.48
635.23,24.8267
-676.107,-46.8243
567.233,114.823
-527.695,-14.1053
351.303,-28.3809
-263.952,205.033
63.4582,-273.292
23.2901,419.793
-200.299,-407.314
244.827,438.039
-366.669,-297.596
349.758,213.96
-410.71,3.49641
339.742,-109.758
-358.636,288.518
261.187,-299.437
-270.815,341.771
180.82,-198.822
-211.977,97.2109
153.005,153.757
-218.63,-307.66
190.773,545.259
-277.53,-621.869
255.386,731.284
-329.179,-650.671
275.063,600.423
-300.85,-384.173
188.833,243.902
-155.431,3.77257
-7.18984,-114.521
73.0214,279.997
-242.245,-272.791
284.613,306.624
-400.481,-177.007
364.511,117.186
-386.229,64.5789
252.48,-130.952
-186.161,278.365
-13.4475,-281.363
113.991,352.541
-311.303,-283.334
373.572,300.492
-502.533,-204.202
476.657,223.189
-510.603,-152.98
396.231,212.547
-359.832,-185.104
201.28,277.694
-150.107,-264.676
4.38909,349.176
12.5089,-307.235
-111.599,348.62
79.6114,-259.226
-136.657,259.46
75.8852,-144.101
-120.107,138.621
61.2366,-37.911
-117.55,62.6495
74.4418,0.75715
-143.372,58.2694
104.313,-16.8887
-166.016,79.5738
109.104,-22.0935
-146.182,52.7311
64.0042,44.4673
-82.0938,-50.2843
-6.81834,169.586
-20.2542,-174.555
-44.058,266.143
-19.2839,-218.535
-4.29936,240.562
-95.1164,-118.832
93.8002,76.7234
-194.487,85.4849
169.924,-134.578
-224.043,266.577
135.637,-251.835
-118.693,296.879
-35.6156,-187.746
100.825,148.94
-275.534,16.6899
327.31,-72.3331
-454.319,209.914
429.521,-195.733
-461.52,232.827
337.053,-104.732
-279.524,34.7547
88.9785,173.998
1.5934,-282.986
-187.83,481.064
238.298,-530.388
-355.621,629.152
319.405,-555.81
-345.348,528.841
225.89,-347.301
-187.221,246.905
28.3884,-37.5728
22.4505,-42.2644
-168.769,188.366
188.466,-175.076
-293.097,215.474
268.93,-102.476
-334.563,65.5881
280.812,90.847
-327.807,-132.702
265.035,258.281
-309.205,-242.456
245.445,296.829
-286.418,-211.123
214.591,210.468
-242.008,-94.3201
152.679,92.1487
-161.923,-1.88282
57.9155,46.2692
-59.978,-12.9419
